source_type,file,line_or_page,phrase,status,context
manuscript_source,manuscript/sections/discussion.tex,25,biological validation,PASS_CAVEATED_HIT,"The summary-level external decision gate reinforces the reporting lesson without broadening the validation claim. The machine-recoverable Harnett and Popovic anchors suggest that some apparent high- versus low-isolation contrast can be reframed in load-normalized coordinates, but the evidence remains summary-level only: Harnett is a model/summary anchor rather than recovered paired measured per-spine data, Popovic measured and model-fit rows are kept separate, Kwon and Cornejo remain context/exclusion rows, and transfer proxies are not SPINE residuals. The overlay motivates reporting dendritic load together with neck resistance, but it is not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution. A true empirical test would require paired same-spine $\Rneck$, local dendritic load, and transfer definitions from the same preparation."
manuscript_source,manuscript/sections/discussion.tex,25,per-spine reanalysis,PASS_CAVEATED_HIT,"The summary-level external decision gate reinforces the reporting lesson without broadening the validation claim. The machine-recoverable Harnett and Popovic anchors suggest that some apparent high- versus low-isolation contrast can be reframed in load-normalized coordinates, but the evidence remains summary-level only: Harnett is a model/summary anchor rather than recovered paired measured per-spine data, Popovic measured and model-fit rows are kept separate, Kwon and Cornejo remain context/exclusion rows, and transfer proxies are not SPINE residuals. The overlay motivates reporting dendritic load together with neck resistance, but it is not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution. A true empirical test would require paired same-spine $\Rneck$, local dendritic load, and transfer definitions from the same preparation."
manuscript_source,manuscript/sections/results.tex,58,biological validation,PASS_CAVEATED_HIT,"A Codex-only external-data gate recovered summary-level external data, not paired per-spine Harnett measured rows. Three summary-usable rows were eligible: a Harnett model/summary high-isolation anchor, a Popovic measured summary anchor, and a Popovic model-fit reference \citep{Harnett2012SpineAmplification,Popovic2015}. Source-native calculations placed the Harnett anchor at $\rhoload=4$ and $\Gamma_{\mathrm{div}}=0.200$ (high), the Popovic measured summary at $\rhoload=0.0982$ and $\Gamma_{\mathrm{div}}=0.911$ (low), and the Popovic model-fit row at $\rhoload=0.0718$ and $\Gamma_{\mathrm{div}}=0.933$ (low), so the anchors occupied distinct source-native $\rhoload$ regimes. The separation persisted under fixed/recovered common loads: Harnett remained high, Popovic measured remained low, and Popovic model-fit remained low or intermediate. The Popovic measured uncertainty envelope remained low. Transfer ratios were treated only as compatibility proxies and not SPINE residuals. These results support a summary-level load-normalization hypothesis for part of the apparent high- versus low-isolation contrast, but they are not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution (Supplementary Figure S10)."
manuscript_source,manuscript/sections/results.tex,58,per-spine reanalysis,PASS_CAVEATED_HIT,"A Codex-only external-data gate recovered summary-level external data, not paired per-spine Harnett measured rows. Three summary-usable rows were eligible: a Harnett model/summary high-isolation anchor, a Popovic measured summary anchor, and a Popovic model-fit reference \citep{Harnett2012SpineAmplification,Popovic2015}. Source-native calculations placed the Harnett anchor at $\rhoload=4$ and $\Gamma_{\mathrm{div}}=0.200$ (high), the Popovic measured summary at $\rhoload=0.0982$ and $\Gamma_{\mathrm{div}}=0.911$ (low), and the Popovic model-fit row at $\rhoload=0.0718$ and $\Gamma_{\mathrm{div}}=0.933$ (low), so the anchors occupied distinct source-native $\rhoload$ regimes. The separation persisted under fixed/recovered common loads: Harnett remained high, Popovic measured remained low, and Popovic model-fit remained low or intermediate. The Popovic measured uncertainty envelope remained low. Transfer ratios were treated only as compatibility proxies and not SPINE residuals. These results support a summary-level load-normalization hypothesis for part of the apparent high- versus low-isolation contrast, but they are not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution (Supplementary Figure S10)."
manuscript_source,manuscript/supplement/sections/external_summary_anchors.tex,6,biological validation,PASS_CAVEATED_HIT,"\caption{\textbf{Bounded summary-level load sensitivity for external Route 1 anchors.} Source-native summary anchors are plotted on the analytic divider relationship $\Gamma_{\mathrm{div}}=1/(1+\rhoload)$, and points lie on the divider by definition rather than as residual validation. The Harnett point is a model/summary anchor, not recovered paired measured per-spine data. Popovic measured summary and Popovic model-fit rows are kept separate. Class stability is shown across source-native, fixed/recovered common-load, and deterministic diagnostic-load calculations; the diagnostic grid is not a biological distribution. Threshold bars show the loads required for each row to cross low/intermediate/high $\rhoload$ classes. These rows support only a summary-level load-normalization hypothesis; no per-spine inference, biological validation, prevalence estimate, controversy resolution, or SPINE residual claim from transfer proxies is implied.}"
required_caveat,manuscript source corpus,,summary-level,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,no per-spine,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,model/summary anchor,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,Popovic measured summary,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,Popovic model-fit,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,Kwon or Cornejo context/exclusion,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,transfer proxies not SPINE residuals,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,not biological validation,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,not prevalence,PASS_PRESENT,Matched one required caveat equivalent.
required_caveat,manuscript source corpus,,not controversy resolution,PASS_PRESENT,Matched one required caveat equivalent.
