column_name,required,data_type,controlled_vocabulary,description,example,phase1_rule
row_id,true,string; numeric strings use MOhm/um units where specified,,Stable Phase 1 row identifier.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
source_id,true,string; numeric strings use MOhm/um units where specified,,Source identifier inherited from Phase 0.1.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
citation_short,true,string; numeric strings use MOhm/um units where specified,,Short source label.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
doi,true,string; numeric strings use MOhm/um units where specified,,Source DOI.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
dataset_role,true,string; numeric strings use MOhm/um units where specified,harnett_high_isolation_anchor; popovic_low_isolation_anchor; kwon_low_isolation_excluded; cornejo_voltage_contrast; zecevic_interpretive_context,Phase 1 role in the summary external empirical dataset.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
route1_status,true,string; numeric strings use MOhm/um units where specified,usable_summary_anchor; usable_model_anchor; context_only; contrast_only_no_rho_coordinate; excluded_no_machine_paired_rows; excluded_no_machine_numeric_row; excluded_source_unavailable_or_blocked,Whether and how the row may be used in summary Route 1.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
data_level,true,string; numeric strings use MOhm/um units where specified,summary_measured; summary_model; summary_reported; context_only; contrast_only; qualitative_only; metadata_only; excluded_no_numeric_route1_row,Summary/model/context/exclusion level; never per-spine.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
extraction_method,true,string; numeric strings use MOhm/um units where specified,,Phase 0.1 extraction method supporting the row.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
source_figure_table_or_section,true,string; numeric strings use MOhm/um units where specified,,"Source figure, table, or section cue inherited from Phase 0.1.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
source_local_path,true,string; numeric strings use MOhm/um units where specified,,Local source text/file path inherited from Phase 0.1 when safe to record.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
source_ledger_row_ids,true,string; numeric strings use MOhm/um units where specified,,Phase 0.1 acquisition ledger row references supporting this source.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
extracted_value_ledger_row_ids,true,string; numeric strings use MOhm/um units where specified,,Phase 0.1 extracted-value ledger row references supporting this row.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
provenance_note,true,string; numeric strings use MOhm/um units where specified,,Short provenance and interpretation note.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
species,true,string; numeric strings use MOhm/um units where specified,,Source species or not_extracted.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
age_or_preparation,true,string; numeric strings use MOhm/um units where specified,,Preparation/age information recovered in Phase 0.1.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
brain_region,true,string; numeric strings use MOhm/um units where specified,,Brain region.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
cell_type,true,string; numeric strings use MOhm/um units where specified,,Cell type.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
dendritic_compartment,true,string; numeric strings use MOhm/um units where specified,,Dendritic compartment or context.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
distance_from_soma_um,true,string; numeric strings use MOhm/um units where specified,,"Distance from soma in micrometers, if available.",,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
n_spines,true,string; numeric strings use MOhm/um units where specified,,Summary sample size in spines when recoverable.,,Column must exist. Blank values are allowed when not applicable unless row validation says otherwise.
