source,section_or_equation,symbol_or_claim,meaning,implementation_artifact,configuration_field,unit,validation_test,figure_or_protocol,discrepancy_or_note
manuscript,eq:rneck,R_neck,rho_i L_n/(pi r_n^2),spine.geometry.cylindrical_neck_resistance_ohm,coupling.intracellular_resistivity_ohm_cm and sweep neck fields,ohm,tests/test_units.py,geometry sweep and SMI,Geometry converted from um to cm before ohm computation
manuscript,eq:rneck_general,R_neck,integral nonuniform neck resistance,spine.geometry.nonuniform_neck_resistance_ohm,not yet configured,ohm,tests/test_phase01_passive_core.py and tests/test_phase03_morphology_impedance.py,nonuniform and distributed neck protocols,Implemented as lumped quadrature plus Phase 03 distributed cable comparison
manuscript,geometry,A_h,spherical head membrane area,spine.geometry.sphere_area_um2,spine_head.radius_um,um2,tests/test_units.py,all spine-head capacitance/leak calculations,Area approximation preserved
manuscript,eq:ghd,g_hd,head-dendrite coupling conductance 1/R_neck,spine.passive.simulate_with_neck_resistance,derived from geometry,S,tests/test_phase01_passive_core.py,three-compartment model,Implemented in Phase 01
manuscript,eq:general_membrane,V_k,general compartment membrane balance,spine.compartments and spine.network,model fields,V,tests/test_phase03_morphology_impedance.py,generic tree protocols,Implemented for passive compartment trees in Phase 03
manuscript,eq:vh,V_h,spine-head passive voltage equation,spine.passive.assemble_passive_matrix and simulate_three_compartment,spine_head and synapse fields,V,tests/test_phase01_passive_core.py,trace simulations,Implemented in Phase 01
manuscript,eq:vd,V_d,parent dendrite passive voltage equation,spine.passive.assemble_passive_matrix and simulate_three_compartment,dendrite and coupling fields,V,tests/test_phase01_passive_core.py,trace simulations,Implemented in Phase 01
manuscript,eq:vs,V_s,soma passive voltage equation,spine.passive.assemble_passive_matrix and simulate_three_compartment,soma and coupling fields,V,tests/test_phase01_passive_core.py,trace simulations,Implemented in Phase 01
manuscript,eq:isyn,I_syn,h,conductance-based synaptic current at head,spine.synapses.DoubleExponentialSynapse and spine.metrics.compute_voltage_metrics,synapse fields,A,tests/test_phase01_passive_core.py,all synaptic protocols,Waveform generated in synapses; signed current and driving-force metrics computed in metrics
manuscript,eq:gsyn,g_syn,normalized double exponential conductance,spine.synapses.DoubleExponentialSynapse,synapse fields,S,tests/test_phase01_passive_core.py,trace simulations,Continuous and discrete peak checks implemented
