file,term_or_concept,hit_text_short,classification,allowed,status,notes
submission/nature_neuroscience/sections/results.tex,biological validation,"n hypothesis for part of the apparent high- versus low-isolation contrast, but they are not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution (Supplementary Figure S10).  \subsect",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
submission/nature_neuroscience/sections/results.tex,per-spine reanalysis,"ry-level load-normalization hypothesis for part of the apparent high- versus low-isolation contrast, but they are not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution (Supplement",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
submission/nature_neuroscience/sections/discussion.tex,biological validation,"The overlay motivates reporting dendritic load together with neck resistance, but it is not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution. A true empirical test would require ",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
submission/nature_neuroscience/sections/discussion.tex,per-spine reanalysis," are not SPINE residuals. The overlay motivates reporting dendritic load together with neck resistance, but it is not a per-spine reanalysis, not biological validation, not a prevalence estimate, and not a controversy resolution. A true emp",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
submission/nature_neuroscience/supplement/sections/external_summary_anchors.tex,biological validation,"high $\rhoload$ classes. These rows support only a summary-level load-normalization hypothesis; no per-spine inference, biological validation, prevalence estimate, controversy resolution, or SPINE residual claim from transfer proxies is imp",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
submission/nature_neuroscience/CLAIM_TO_SOURCE_LEDGER.csv,biological validation,"ments.csv,all rows,usable_for_per_spine_route1 false for all rows,none,verified from Phase 1 CSV,limitation Discussion,""Biological validation of SPINE remains unsupported by the external summary add-on."",reports/PHASE_2B_BOUNDED_SUMMARY_LOA",caveated_or_contextual,True,PASS,Forbidden concept appears only in caveated language.
package_static_sources_combined,summary-level,,required_concept_present,True,PASS,Required concept found.
package_static_sources_combined,no per-spine inference,,required_concept_present,True,PASS,Required concept found.
package_static_sources_combined,not biological validation,,required_concept_present,True,PASS,Required concept found.
package_static_sources_combined,not controversy resolution,,required_concept_present,True,PASS,Required concept found.
package_static_sources_combined,transfer proxies not SPINE residuals,,required_concept_present,True,PASS,Required concept found.
