manifest_item,target_file,source_or_evidence,update_status,notes
figure_asset_copy,manuscript/supplement/figures/FigS10_external_summary_load_sensitivity.svg,figures/external_empirical/phase2b_load_sensitivity/phase2b_summary_load_sensitivity.svg,copied,Copied Phase 2b candidate figure under new Figure S10 name; existing figures were not overwritten.
figure_asset_copy,manuscript/supplement/figures_pdf/FigS10_external_summary_load_sensitivity.pdf,figures/external_empirical/phase2b_load_sensitivity/phase2b_summary_load_sensitivity.pdf,copied,Copied Phase 2b candidate figure under new Figure S10 name; existing figures were not overwritten.
figure_asset_copy,manuscript/figures_publication/FigS10_external_summary_load_sensitivity.svg,figures/external_empirical/phase2b_load_sensitivity/phase2b_summary_load_sensitivity.svg,copied,Copied Phase 2b candidate figure under new Figure S10 name; existing figures were not overwritten.
figure_asset_copy,manuscript/figures_publication/FigS10_external_summary_load_sensitivity.png,figures/external_empirical/phase2b_load_sensitivity/phase2b_summary_load_sensitivity.png,copied,Copied Phase 2b candidate figure under new Figure S10 name; existing figures were not overwritten.
figure_asset_copy,manuscript/figures_publication/FigS10_external_summary_load_sensitivity.pdf,figures/external_empirical/phase2b_load_sensitivity/phase2b_summary_load_sensitivity.pdf,copied,Copied Phase 2b candidate figure under new Figure S10 name; existing figures were not overwritten.
results_text,manuscript/sections/results.tex,reports/PHASE_2B_MANUSCRIPT_ADDON_DRAFT.md; results/external_empirical/phase2b_load_sensitivity/phase2b_decision_result.json,updated,Inserted compact summary-level external decision-gate paragraph.
methods_text,manuscript/sections/methods.tex,data/external_empirical/external_summary_measurements.csv; results/external_empirical/phase2b_load_sensitivity/*,updated,"Documented row eligibility, Codex-only/no-digitization rule, load models, thresholds, uncertainty, and proxy-only transfers."
discussion_limitations,manuscript/sections/discussion.tex,reports/PHASE_2B_CLAIM_LANGUAGE_GUARDRAILS.md,updated,Added summary-level caveat and future empirical-test requirement.
supplement_section,manuscript/supplement/sections/external_summary_anchors.tex,results/external_empirical/phase2b_load_sensitivity/phase2b_load_model_calculations.csv,created,Added Figure S10 caption with summary-only limitations.
figure_source_manifest,manuscript/FIGURE_SOURCE_MANIFEST.csv,results/external_empirical/phase2b_load_sensitivity/phase2b_figure_manifest.csv,updated,Added Figure S10 provenance row.
claim_to_source_ledger,manuscript/CLAIM_TO_SOURCE_LEDGER.csv,results/external_empirical/phase2b_load_sensitivity/phase2b_candidate_claim_ledger_rows.csv,updated,Added supported and explicitly rejected Phase 3 claim rows.
abstract,manuscript/sections/abstract.tex,phase3 scope decision,unchanged,Left unchanged to avoid overextending a short summary-only add-on.
